reading_id,sensor_id,site_id,sensor_type,timestamp,value,unit,ec_limit,is_exceedance,exceedance_pct_above_limit,weather_conditions,nearest_blast_time,dust_suppression_active
ENV00000001,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T00:00:00,71.2,ug/m3,150,False,0,Windy,13:00,False
ENV00000002,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T01:00:00,82.0,ug/m3,150,False,0,Clear,13:00,True
ENV00000003,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T02:00:00,64.7,ug/m3,150,False,0,Clear,13:00,True
ENV00000004,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T03:00:00,61.7,ug/m3,150,False,0,Windy,13:00,False
ENV00000005,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T04:00:00,78.0,ug/m3,150,False,0,Hazy,13:00,False
ENV00000006,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T05:00:00,60.6,ug/m3,150,False,0,Clear,13:00,False
ENV00000007,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T06:00:00,85.0,ug/m3,150,False,0,Clear,13:00,True
ENV00000008,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T07:00:00,65.5,ug/m3,150,False,0,Clear,13:00,True
ENV00000009,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T08:00:00,69.1,ug/m3,150,False,0,Windy,13:00,True
ENV00000010,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T09:00:00,73.0,ug/m3,150,False,0,Clear,13:00,True
ENV00000011,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T10:00:00,78.4,ug/m3,150,False,0,Windy,13:00,True
ENV00000012,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T11:00:00,68.8,ug/m3,150,False,0,Windy,13:00,True
ENV00000013,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T12:00:00,73.7,ug/m3,150,False,0,Windy,13:00,False
ENV00000014,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T13:00:00,200.6,ug/m3,150,True,33.7,Clear,13:00,True
ENV00000015,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T14:00:00,204.3,ug/m3,150,True,36.2,Windy,13:00,True
ENV00000016,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T15:00:00,129.0,ug/m3,150,False,0,Hazy,13:00,False
ENV00000017,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T16:00:00,116.1,ug/m3,150,False,0,Clear,13:00,True
ENV00000018,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T17:00:00,80.5,ug/m3,150,False,0,Clear,13:00,True
ENV00000019,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T18:00:00,63.7,ug/m3,150,False,0,Clear,13:00,True
ENV00000020,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T19:00:00,61.0,ug/m3,150,False,0,Clear,13:00,False
ENV00000021,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T20:00:00,67.8,ug/m3,150,False,0,Clear,13:00,False
ENV00000022,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T21:00:00,69.4,ug/m3,150,False,0,Windy,13:00,True
ENV00000023,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T22:00:00,76.4,ug/m3,150,False,0,Windy,13:00,True
ENV00000024,SEN_SITE_A_PM2.5,SITE_A,PM2.5,2026-06-01T23:00:00,89.1,ug/m3,150,False,0,Clear,13:00,False
ENV00000025,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T00:00:00,77.6,ug/m3,100,False,0,Windy,13:00,False
ENV00000026,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T01:00:00,63.9,ug/m3,100,False,0,Clear,13:00,False
ENV00000027,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T02:00:00,43.5,ug/m3,100,False,0,Windy,13:00,True
ENV00000028,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T03:00:00,41.8,ug/m3,100,False,0,Windy,13:00,True
ENV00000029,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T04:00:00,55.5,ug/m3,100,False,0,Windy,13:00,True
ENV00000030,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T05:00:00,73.1,ug/m3,100,False,0,Windy,13:00,True
ENV00000031,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T06:00:00,51.2,ug/m3,100,False,0,Hazy,13:00,True
ENV00000032,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T07:00:00,45.6,ug/m3,100,False,0,Clear,13:00,False
ENV00000033,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T08:00:00,43.0,ug/m3,100,False,0,Hazy,13:00,False
ENV00000034,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T09:00:00,70.9,ug/m3,100,False,0,Windy,13:00,True
ENV00000035,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T10:00:00,40.2,ug/m3,100,False,0,Hazy,13:00,False
ENV00000036,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T11:00:00,68.3,ug/m3,100,False,0,Clear,13:00,False
ENV00000037,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T12:00:00,70.9,ug/m3,100,False,0,Clear,13:00,True
ENV00000038,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T13:00:00,54.3,ug/m3,100,False,0,Windy,13:00,True
ENV00000039,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T14:00:00,74.5,ug/m3,100,False,0,Hazy,13:00,False
ENV00000040,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T15:00:00,53.2,ug/m3,100,False,0,Hazy,13:00,True
ENV00000041,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T16:00:00,52.4,ug/m3,100,False,0,Hazy,13:00,True
ENV00000042,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T17:00:00,69.2,ug/m3,100,False,0,Clear,13:00,False
ENV00000043,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T18:00:00,75.5,ug/m3,100,False,0,Clear,13:00,True
ENV00000044,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T19:00:00,44.8,ug/m3,100,False,0,Hazy,13:00,False
ENV00000045,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T20:00:00,70.4,ug/m3,100,False,0,Clear,13:00,True
ENV00000046,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T21:00:00,70.8,ug/m3,100,False,0,Clear,13:00,True
ENV00000047,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T22:00:00,60.9,ug/m3,100,False,0,Hazy,13:00,True
ENV00000048,SEN_SITE_A_PM10,SITE_A,PM10,2026-06-01T23:00:00,41.0,ug/m3,100,False,0,Clear,13:00,True
ENV00000049,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T00:00:00,62.6,dB,85,False,0,Hazy,13:00,False
ENV00000050,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T01:00:00,68.3,dB,85,False,0,Hazy,13:00,True
ENV00000051,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T02:00:00,80.2,dB,85,False,0,Windy,13:00,True
ENV00000052,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T03:00:00,70.2,dB,85,False,0,Hazy,13:00,False
ENV00000053,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T04:00:00,66.6,dB,85,False,0,Clear,13:00,True
ENV00000054,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T05:00:00,67.8,dB,85,False,0,Windy,13:00,True
ENV00000055,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T06:00:00,80.6,dB,85,False,0,Hazy,13:00,False
ENV00000056,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T07:00:00,74.7,dB,85,False,0,Windy,13:00,False
ENV00000057,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T08:00:00,78.1,dB,85,False,0,Clear,13:00,True
ENV00000058,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T09:00:00,79.9,dB,85,False,0,Hazy,13:00,True
ENV00000059,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T10:00:00,78.1,dB,85,False,0,Clear,13:00,False
ENV00000060,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T11:00:00,68.4,dB,85,False,0,Windy,13:00,True
ENV00000061,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T12:00:00,66.6,dB,85,False,0,Hazy,13:00,True
ENV00000062,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T13:00:00,78.4,dB,85,False,0,Windy,13:00,False
ENV00000063,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T14:00:00,62.1,dB,85,False,0,Windy,13:00,True
ENV00000064,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T15:00:00,70.3,dB,85,False,0,Hazy,13:00,True
ENV00000065,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T16:00:00,64.4,dB,85,False,0,Windy,13:00,True
ENV00000066,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T17:00:00,80.9,dB,85,False,0,Clear,13:00,True
ENV00000067,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T18:00:00,72.4,dB,85,False,0,Windy,13:00,False
ENV00000068,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T19:00:00,69.3,dB,85,False,0,Clear,13:00,False
ENV00000069,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T20:00:00,81.2,dB,85,False,0,Clear,13:00,True
ENV00000070,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T21:00:00,71.9,dB,85,False,0,Windy,13:00,True
ENV00000071,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T22:00:00,67.7,dB,85,False,0,Clear,13:00,True
ENV00000072,SEN_SITE_A_Noise,SITE_A,Noise,2026-06-01T23:00:00,74.2,dB,85,False,0,Hazy,13:00,True
ENV00000073,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T00:00:00,6.9,pH,8.5,False,0,Clear,13:00,True
ENV00000074,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T01:00:00,8.1,pH,8.5,False,0,Clear,13:00,True
ENV00000075,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T02:00:00,7.0,pH,8.5,False,0,Clear,13:00,True
ENV00000076,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T03:00:00,8.2,pH,8.5,False,0,Hazy,13:00,True
ENV00000077,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T04:00:00,7.7,pH,8.5,False,0,Hazy,13:00,False
ENV00000078,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T05:00:00,7.1,pH,8.5,False,0,Hazy,13:00,False
ENV00000079,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T06:00:00,7.3,pH,8.5,False,0,Windy,13:00,False
ENV00000080,SEN_SITE_A_Water_pH,SITE_A,Water_pH,2026-06-01T07:00:00,7.7,pH,8.5,False,0,Hazy,13:00,True
